time,device_id,s_d0,s_t0,s_h0,lat,lon,school,time2
2016-04-25 07:05:16,28C2DDDD4234,26,28,82,25.0024355,121.5518875,興隆國小,2016/4/25 8:00
2016-04-25 07:28:27,28C2DDDD400A,41,28.62,83,25.049216,121.548605,敦化國小,2016/4/25 8:00
2016-04-25 07:53:40,28C2DDDD43ED,45,28.87,82,25.0322754,121.527675,金華國小,2016/4/25 8:00
2016-04-25 07:53:44,28C2DDDD4354,35,28.5,86,24.9902695,121.5701489,木柵國小,2016/4/25 8:00
2016-04-25 07:53:56,28C2DDDD458A,38,29,83,25.1121226,121.5217881,明德國小,2016/4/25 8:00
2016-04-25 07:54:04,28C2DDDD434D,46,28.75,88,25.0686959,121.6120147,南湖國小,2016/4/25 8:00
2016-04-25 07:54:07,28C2DDDD4414,54,26.62,97,25.0402449,121.619539,舊莊國小,2016/4/25 8:00
2016-04-25 07:54:15,28C2DDDD458F,40,29.12,84,25.054721,121.5296301,吉林國小,2016/4/25 8:00
2016-04-25 07:54:19,28C2DDDD4790,41,28.25,100,25.085771,121.5601224,文湖國小,2016/4/25 8:00
2016-04-25 07:54:22,28C2DDDD4566,47,26.75,94,25.0388994,121.5865035,福德國小,2016/4/25 8:00
2016-04-25 07:05:16,28C2DDDD4234,26,28,82,25.0024355,121.5518875,興隆國小,2016/4/25 8:00
2016-04-25 07:28:27,28C2DDDD400A,41,28.62,83,25.049216,121.548605,敦化國小,2016/4/25 8:00
2016-04-25 07:53:40,28C2DDDD43ED,45,28.87,82,25.0322754,121.527675,金華國小,2016/4/25 8:00
2016-04-25 07:53:44,28C2DDDD4354,35,28.5,86,24.9902695,121.5701489,木柵國小,2016/4/25 8:00
2016-04-25 07:53:56,28C2DDDD458A,38,29,83,25.1121226,121.5217881,明德國小,2016/4/25 8:00
2016-04-25 07:54:04,28C2DDDD434D,46,28.75,88,25.0686959,121.6120147,南湖國小,2016/4/25 8:00
2016-04-25 07:54:07,28C2DDDD4414,54,26.62,97,25.0402449,121.619539,舊莊國小,2016/4/25 8:00
2016-04-25 07:54:15,28C2DDDD458F,40,29.12,84,25.054721,121.5296301,吉林國小,2016/4/25 8:00
2016-04-25 07:54:19,28C2DDDD4790,41,28.25,100,25.085771,121.5601224,文湖國小,2016/4/25 8:00
2016-04-25 07:54:22,28C2DDDD4566,47,26.75,94,25.0388994,121.5865035,福德國小,2016/4/25 8:00
2016-04-25 07:54:23,28C2DDDD4588,49,28.12,88,25.0357882,121.5135444,台北市立大學附設實驗國小,2016/4/25 8:00
2016-04-25 07:54:27,28C2DDDD4591,38,27.75,90,25.000695,121.575404,博嘉國小,2016/4/25 8:00
2016-04-25 07:54:31,28C2DDDD4349,40,31.12,70,25.137188,121.496154,文化國小,2016/4/25 8:00
2016-04-25 07:54:31,28C2DDDD434F,41,29.37,75,25.0452404,121.5417844,懷生國小,2016/4/25 8:00
2016-04-25 07:54:45,28C2DDDD41EB,40,28.37,85,25.119488,121.505031,立農國小,2016/4/25 8:00
2016-04-25 07:54:50,28C2DDDD4598,43,29.12,84,25.061261,121.511118,永樂國小,2016/4/25 8:00
2016-04-25 07:55:00,28C2DDDD455E,44,29.87,88,25.0229842,121.4993232,萬大國小,2016/4/25 8:00
2016-04-25 07:55:11,28C2DDDD452E,45,28,84,25.0394377,121.5462133,私立復興實驗中學,2016/4/25 8:00
2016-04-25 07:55:14,28C2DDDD4240,35,31.87,67,25.1360628,121.4986913,薇閣國小,2016/4/25 8:00
2016-04-25 07:55:29,28C2DDDD4338,46,27.12,89,25.149185,121.524203,泉源國小,2016/4/25 8:00
2016-04-25 07:55:29,28C2DDDD45A1,41,30,81,25.105839,121.482582,富安國小,2016/4/25 8:00
2016-04-25 07:55:31,28C2DDDD4536,43,28.25,84,25.05049,121.5400725,中正國小,2016/4/25 8:00
2016-04-25 07:55:39,28C2DDDD436D,41,27.87,88,25.0791258,121.5802392,內湖國小,2016/4/25 8:00
2016-04-25 07:56:21,28C2DDDD4236,39,28.87,80,25.054494,121.5165179,日新國小,2016/4/25 8:00
2016-04-25 07:56:23,28C2DDDD456C,43,28.87,85,25.0563873,121.5157097,蓬萊國小,2016/4/25 8:00
2016-04-25 07:56:24,28C2DDDD41CD,41,28.25,90,25.0838299,121.5656995,西湖國小,2016/4/25 8:00
2016-04-25 07:56:28,28C2DDDD4580,40,30.62,72,25.138367,121.505155,逸仙國小,2016/4/25 8:00
2016-04-25 07:56:29,28C2DDDD437D,51,28,89,25.037684,121.5349702,幸安國小,2016/4/25 8:00
2016-04-25 07:56:40,28C2DDDD4229,41,28.25,89,25.1156878,121.5117046,石牌國小,2016/4/25 8:00
2016-04-25 07:56:55,28C2DDDD4404,54,29.37,82,25.0016222,121.5507703,興德國小,2016/4/25 8:00
2016-04-25 07:56:59,28C2DDDD4372,43,29,85,25.0603451,121.5905901,潭美國小,2016/4/25 8:00
2016-04-25 07:56:59,28C2DDDD459A,40,29,81,25.0986884,121.5295965,福林國小,2016/4/25 8:00
2016-04-25 07:57:00,28C2DDDD441E,43,27.62,85,25.154895,121.503983,大屯國小,2016/4/25 8:00
2016-04-25 07:57:00,28C2DDDD443A,51,27.5,92,25.0430088,121.5798853,永吉國小,2016/4/25 8:00
2016-04-25 07:57:07,28C2DDDD415C,47,27.87,89,25.0239215,121.5348854,龍安國小,2016/4/25 8:00
2016-04-25 07:57:12,28C2DDDD4575,45,27.12,87,25.0261583,121.5427093,銘傳國小,2016/4/25 8:00
2016-04-25 07:57:21,28C2DDDD4572,39,30.75,70,25.04293,121.531552,忠孝國小,2016/4/25 8:00
2016-04-25 07:57:27,28C2DDDD4246,38,29.62,84,25.1269568,121.5076634,清江國小,2016/4/25 8:00
2016-04-25 07:57:29,28C2DDDD4408,44,28.12,89,25.0594726,121.5518154,民族國小,2016/4/25 8:00
2016-04-25 07:57:31,28C2DDDD4239,38,29.37,80,25.099401,121.521359,文昌國小,2016/4/25 8:00
2016-04-25 07:57:31,28C2DDDD4413,46,27.62,92,25.063613,121.526363,中山國小,2016/4/25 8:00
2016-04-25 07:57:32,28C2DDDD423E,44,28.37,85,25.043172,121.5035971,西門國小,2016/4/25 8:00
2016-04-25 07:57:39,28C2DDDD4357,36,28.75,90,24.9875796,121.5500432,永建國小,2016/4/25 8:00
2016-04-25 07:57:41,28C2DDDD4534,32,30.25,67,25.0837421,121.5069631,葫蘆國小,2016/4/25 8:00
2016-04-25 07:57:41,28C2DDDD457E,41,28,87,25.060161,121.5166898,雙蓮國小,2016/4/25 8:00
2016-04-25 07:57:58,28C2DDDD41FA,46,28.12,87,25.0565153,121.5521795,民生國小,2016/4/25 8:00
2016-04-25 07:57:59,28C2DDDD4594,43,28,87,25.0804934,121.5460971,大直國小,2016/4/25 8:00
2016-04-25 07:58:04,28C2DDDD456A,45,29,84,25.0357732,121.55235,仁愛國小,2016/4/25 8:00
2016-04-25 07:58:24,28C2DDDD436F,39,28.37,87,25.023163,121.4978675,東園國小,2016/4/25 8:00
2016-04-25 07:58:41,28C2DDDD41C0,37,29.5,93,25.0205827,121.5287775,古亭國小,2016/4/25 8:00
2016-04-25 07:58:42,28C2DDDD45A0,42,27.5,96,25.141925,121.509816,義方國小,2016/4/25 8:00
2016-04-25 07:58:49,28C2DDDD450C,34,28.62,84,25.0522116,121.5636714,西松國小,2016/4/25 8:00
2016-04-25 07:59:06,28C2DDDD43FC,45,28,93,25.0318599,121.563206,信義國小,2016/4/25 8:00
2016-04-25 07:59:24,28C2DDDD41B2,42,28.5,85,25.073294,121.5363674,大佳國小,2016/4/25 8:00
2016-04-25 07:59:26,28C2DDDD4599,43,28.5,81,25.031305,121.4939132,大理國小,2016/4/25 8:00
2016-04-25 07:59:31,28C2DDDD45A9,39,27.87,151,25.0652808,121.5161749,大同國小,2016/4/25 8:00
